,Individual Product,Listing Title,Sale Price,Discount Rate,Retail Price,Description
0,https://ascentoutdoors.com/collections/sale-items/products/scarpa-ribelle-hd?lshst=collection,Scarpa Ribelle HD Men's,Not On Sale,-25%,,"A durable, all-mountain version of our revolutionary Ribelle Tech, the Ribelle HD takes inspiration from both running footwear and mountain boots, and features a rugged suede leather upper with an Hdry direct-attach waterproof breathable membrane."
1,https://ascentoutdoors.com/collections/sale-items/products/petzl-protec-flexible-rope-protector-with-attachment-clip?lshst=collection,Petzl Flexible PROTEC protection,Not On Sale,-17%,,No Description
2,https://ascentoutdoors.com/collections/sale-items/products/smartwool-mens-phd-outdoor-light-crew-socks?lshst=collection,Smartwool Unisex PhD Outdoor Light Cushion Socks,Not On Sale,-18%,,No Description
3,https://ascentoutdoors.com/collections/sale-items/products/backpackers-pantry-summit-breakfast-scramble?lshst=collection,Backpacker's Pantry Summit Breakfast Scramble,Not On Sale,-15%,,"No skillet required! Simply add hot water for the perfect backcountry breakfast scramble. The perfect blend of red beans, scrambled eggs, cheddar cheese, and peppers makes up our Summit Breakfast Scramble."
4,https://ascentoutdoors.com/collections/sale-items/products/clif-energy-bar?lshst=collection,Clif Bar® Energy Bar,Not On Sale,No Discount,,No Description
5,https://ascentoutdoors.com/collections/sale-items/products/backpackers-pantry-santa-fe-style-rice-beans-with-chicken,Backpacker's Pantry Santa Fe Style Rice & Beans With Chicken,Not On Sale,-16%,,No Description
6,https://ascentoutdoors.com/collections/sale-items/products/black-diamond-glop-stopper-wax-2oz,Black Diamond Glop Stopper Wax 2Oz,Not On Sale,-20%,,No Description
7,https://ascentoutdoors.com/collections/sale-items/products/stroganoff-egg-noodles-beef-mushrooms,"Backpacker’s Pantry Stroganoff: Egg Noodles, Beef & Mushrooms",Not On Sale,-15%,,Description
8,https://ascentoutdoors.com/collections/sale-items/products/scarpa-moraine-mid-gtx-wmn,Scarpa Moraine Mid GTX Wmn,Not On Sale,-29%,,No Description
9,https://ascentoutdoors.com/collections/sale-items/products/mammut-tamaro-longsleeve-shirt-mens?lshst=collection,Mammut Tamaro Longsleeve Shirt Men's,Not On Sale,-20%,,No Description
10,https://ascentoutdoors.com/collections/sale-items/products/mammut-womens-ophir-3-slide-harness,Mammut Women's Ophir 3 Slide Harness,Not On Sale,-30%,,No Description
11,https://ascentoutdoors.com/collections/sale-items/products/outdoor-research-mens-strata-s-s-shirt,Outdoor Research Men's Strata S/S Shirt,Not On Sale,-30%,,No Description
